doc_id,stock_code,stock_name,market,announcement_title,announcement_type,publish_date,url,pdf_url,local_pdf_path,download_status,source,crawl_time,error_message,notes
d9c3b489d294ba344975bac2dc71aec3,601012,隆基绿能,sh,隆基绿能：中国国际金融股份有限公司关于隆基绿能科技股份有限公司2023年度募集资金存放与实际使用情况的专项核查报告,其他,2024-04-30,finalpage/2024-04-30/1219925325.PDF,http://static.cninfo.com.cn/finalpage/2024-04-30/1219925325.PDF,data/pdf\601012_d9c3b489d294ba344975bac2dc71aec3.pdf,success,cninfo,2026-06-05T10:41:08.016660,,
0348d99248fd17f6217f63bcdbbf4bd8,601012,隆基绿能,sh,隆基绿能：2023年度募集资金存放与实际使用情况专项报告及鉴证报告,其他,2024-04-30,finalpage/2024-04-30/1219925316.PDF,http://static.cninfo.com.cn/finalpage/2024-04-30/1219925316.PDF,data/pdf\601012_0348d99248fd17f6217f63bcdbbf4bd8.pdf,success,cninfo,2026-06-05T10:41:09.663214,,
c32ad9e0d7ddb1b5c313a29dbccb694e,601012,隆基绿能,sh,隆基绿能：关于2018年度配股募集资金投资项目结项并将节余募集资金用于永久补充流动资金的公告,其他,2024-04-02,finalpage/2024-04-02/1219494230.PDF,http://static.cninfo.com.cn/finalpage/2024-04-02/1219494230.PDF,data/pdf\601012_c32ad9e0d7ddb1b5c313a29dbccb694e.pdf,success,cninfo,2026-06-05T10:41:09.664210,,
b133ff458d7ecc5168100425d0a1c9c5,601012,隆基绿能,sh,隆基绿能：中国国际金融股份有限公司关于隆基绿能科技股份有限公司2018年度配股募集资金投资项目结项并将节余募集资金用于永久补充流动资金的核查意见,其他,2024-04-02,finalpage/2024-04-02/1219494228.PDF,http://static.cninfo.com.cn/finalpage/2024-04-02/1219494228.PDF,data/pdf\601012_b133ff458d7ecc5168100425d0a1c9c5.pdf,success,cninfo,2026-06-05T10:41:09.664210,,
e2a8d55e199af3109e6e54a158fc7668,603259,药明康德,sh,药明康德：无锡药明康德新药开发股份有限公司募集资金管理办法（2024年修订）,其他,2024-06-13,finalpage/2024-06-13/1220338005.PDF,http://static.cninfo.com.cn/finalpage/2024-06-13/1220338005.PDF,data/pdf\603259_e2a8d55e199af3109e6e54a158fc7668.pdf,success,cninfo,2026-06-05T10:41:21.333195,,
437a586cebd1d9fc59d010da6dfcea71,603259,药明康德,sh,药明康德：2023年度募集资金存放与实际使用情况的专项报告,其他,2024-03-19,finalpage/2024-03-19/1219331370.PDF,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331370.PDF,data/pdf\603259_437a586cebd1d9fc59d010da6dfcea71.pdf,success,cninfo,2026-06-05T10:41:26.559000,,
9f78e2c1dfb9eef9a67cf1cf4a522422,603259,药明康德,sh,药明康德：关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,其他,2024-03-19,finalpage/2024-03-19/1219331371.PDF,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,data/pdf\603259_9f78e2c1dfb9eef9a67cf1cf4a522422.pdf,success,cninfo,2026-06-05T10:41:26.559000,,
525546814b75dfd92ea0973a03c42a80,603259,药明康德,sh,药明康德：华泰联合证券有限责任公司关于无锡药明康德新药开发股份有限公司2023年年度募集资金存放与实际使用情况的核查意见,其他,2024-03-19,finalpage/2024-03-19/1219331369.PDF,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331369.PDF,data/pdf\603259_525546814b75dfd92ea0973a03c42a80.pdf,success,cninfo,2026-06-05T10:41:28.197679,,
a79ba490cec1a2a8f40d3575f1afedb1,300274,阳光电源,sz,阳光电源：关于使用闲置募集资金购买理财产品的进展公告（四十九）,其他,2025-06-24,finalpage/2025-06-24/1223973348.PDF,http://static.cninfo.com.cn/finalpage/2025-06-24/1223973348.PDF,data/pdf\300274_a79ba490cec1a2a8f40d3575f1afedb1.pdf,success,cninfo,2026-06-05T10:41:31.315359,,
145f0d5ed0f48c25fad76fe4a26d3b94,300274,阳光电源,sz,阳光电源：关于使用闲置募集资金购买理财产品的进展公告（四十八）,其他,2025-06-13,finalpage/2025-06-13/1223877851.PDF,http://static.cninfo.com.cn/finalpage/2025-06-13/1223877851.PDF,data/pdf\300274_145f0d5ed0f48c25fad76fe4a26d3b94.pdf,success,cninfo,2026-06-05T10:41:31.315359,,
